sintab1.c	partab2.c	tritab3.c	steptab4.c	pwm75tab5.c	pwm50tab6.c	pwm25tab7.c	pwm10tab8.c
7	0	-2038	2047	2047	2047	2047	2047
19	16	-2030	2047	2047	2047	2047	2047
32	32	-2022	2047	2047	2047	2047	2047
44	48	-2014	2047	2047	2047	2047	2047
57	63	-2006	2047	2047	2047	2047	2047
70	79	-1998	2047	2047	2047	2047	2047
82	94	-1990	2047	2047	2047	2047	2047
95	109	-1982	2047	2047	2047	2047	2047
107	125	-1974	2047	2047	2047	2047	2047
120	140	-1966	2047	2047	2047	2047	2047
132	155	-1958	2047	2047	2047	2047	2047
145	170	-1950	2047	2047	2047	2047	2047
157	185	-1942	2047	2047	2047	2047	2047
170	200	-1934	2047	2047	2047	2047	2047
182	215	-1926	2047	2047	2047	2047	2047
195	230	-1918	2047	2047	2047	2047	2047
207	245	-1910	2047	2047	2047	2047	2047
220	260	-1902	2047	2047	2047	2047	2047
232	275	-1894	2047	2047	2047	2047	2047
245	289	-1886	2047	2047	2047	2047	2047
257	304	-1878	2047	2047	2047	2047	2047
270	318	-1870	2047	2047	2047	2047	2047
282	333	-1862	2047	2047	2047	2047	2047
295	347	-1854	2047	2047	2047	2047	2047
307	362	-1846	2047	2047	2047	2047	2047
319	376	-1838	2047	2047	2047	2047	0
332	390	-1830	2047	2047	2047	2047	0
344	404	-1822	2047	2047	2047	2047	0
357	418	-1814	2047	2047	2047	2047	0
369	432	-1806	2047	2047	2047	2047	0
381	446	-1798	2047	2047	2047	2047	0
394	460	-1790	2047	2047	2047	2047	0
406	474	-1782	2047	2047	2047	2047	0
418	488	-1774	2047	2047	2047	2047	0
430	501	-1766	2047	2047	2047	2047	0
443	515	-1758	2047	2047	2047	2047	0
455	529	-1750	2047	2047	2047	2047	0
467	542	-1742	2047	2047	2047	2047	0
479	556	-1734	2047	2047	2047	2047	0
492	569	-1726	2047	2047	2047	2047	0
504	582	-1718	2047	2047	2047	2047	0
516	596	-1710	2047	2047	2047	2047	0
528	609	-1702	2047	2047	2047	2047	0
540	622	-1694	2047	2047	2047	2047	0
552	635	-1686	2047	2047	2047	2047	0
564	648	-1678	2047	2047	2047	2047	0
577	661	-1670	2047	2047	2047	2047	0
589	674	-1662	2047	2047	2047	2047	0
601	687	-1654	2047	2047	2047	2047	0
613	700	-1646	2047	2047	2047	2047	0
625	712	-1638	2047	2047	2047	2047	0
636	725	-1630	2047	2047	2047	2047	0
648	738	-1622	2047	2047	2047	2047	0
660	750	-1614	2047	2047	2047	2047	0
672	763	-1606	2047	2047	2047	2047	0
684	775	-1598	2047	2047	2047	2047	0
696	787	-1590	2047	2047	2047	2047	0
708	800	-1582	2047	2047	2047	2047	0
719	812	-1574	2047	2047	2047	2047	0
731	824	-1566	2047	2047	2047	2047	0
743	836	-1558	2047	2047	2047	2047	0
755	848	-1550	2047	2047	2047	2047	0
766	860	-1542	2047	2047	2047	2047	0
778	872	-1534	2047	2047	2047	2047	0
789	884	-1526	2047	2047	2047	2047	0
801	896	-1518	2047	2047	2047	2047	0
813	907	-1510	2047	2047	2047	2047	0
824	919	-1502	2047	2047	2047	2047	0
836	931	-1494	2047	2047	2047	2047	0
847	942	-1486	2047	2047	2047	2047	0
858	954	-1478	2047	2047	2047	2047	0
870	965	-1470	2047	2047	2047	2047	0
881	977	-1462	2047	2047	2047	2047	0
892	988	-1454	2047	2047	2047	2047	0
904	999	-1446	2047	2047	2047	2047	0
915	1010	-1438	2047	2047	2047	2047	0
926	1021	-1430	2047	2047	2047	2047	0
937	1032	-1422	2047	2047	2047	2047	0
949	1043	-1414	2047	2047	2047	2047	0
960	1054	-1406	2047	2047	2047	2047	0
971	1065	-1398	2047	2047	2047	2047	0
982	1076	-1390	2047	2047	2047	2047	0
993	1087	-1382	2047	2047	2047	2047	0
1004	1097	-1374	2047	2047	2047	2047	0
1015	1108	-1366	2047	2047	2047	2047	0
1026	1119	-1358	2047	2047	2047	2047	0
1036	1129	-1350	2047	2047	2047	2047	0
1047	1140	-1342	2047	2047	2047	2047	0
1058	1150	-1334	2047	2047	2047	2047	0
1069	1160	-1326	2047	2047	2047	2047	0
1079	1170	-1318	2047	2047	2047	2047	0
1090	1181	-1310	2047	2047	2047	2047	0
1101	1191	-1302	2047	2047	2047	2047	0
1111	1201	-1294	2047	2047	2047	2047	0
1122	1211	-1286	2047	2047	2047	2047	0
1132	1221	-1278	2047	2047	2047	2047	0
1143	1231	-1270	2047	2047	2047	2047	0
1153	1240	-1262	2047	2047	2047	2047	0
1163	1250	-1254	2047	2047	2047	2047	0
1174	1260	-1246	2047	2047	2047	2047	0
1184	1269	-1238	2047	2047	2047	2047	0
1194	1279	-1230	2047	2047	2047	2047	0
1204	1289	-1222	2047	2047	2047	2047	0
1215	1298	-1214	2047	2047	2047	2047	0
1225	1307	-1206	2047	2047	2047	2047	0
1235	1317	-1198	2047	2047	2047	2047	0
1245	1326	-1190	2047	2047	2047	2047	0
1255	1335	-1182	2047	2047	2047	2047	0
1265	1344	-1174	2047	2047	2047	2047	0
1274	1353	-1166	2047	2047	2047	2047	0
1284	1362	-1158	2047	2047	2047	2047	0
1294	1371	-1150	2047	2047	2047	2047	0
1304	1380	-1142	2047	2047	2047	2047	0
1313	1389	-1134	2047	2047	2047	2047	0
1323	1398	-1126	2047	2047	2047	2047	0
1332	1406	-1118	2047	2047	2047	2047	0
1342	1415	-1110	2047	2047	2047	2047	0
1351	1424	-1102	2047	2047	2047	2047	0
1361	1432	-1095	2047	2047	2047	2047	0
1370	1441	-1087	2047	2047	2047	2047	0
1379	1449	-1079	2047	2047	2047	2047	0
1389	1457	-1071	2047	2047	2047	2047	0
1398	1466	-1063	2047	2047	2047	2047	0
1407	1474	-1055	2047	2047	2047	2047	0
1416	1482	-1047	2047	2047	2047	2047	0
1425	1490	-1039	2047	2047	2047	2047	0
1434	1498	-1031	2047	2047	2047	2047	0
1443	1506	-1023	2047	2047	2047	2047	0
1452	1514	-1015	2047	2047	2047	2047	0
1461	1522	-1007	2047	2047	2047	2047	0
1470	1529	-999	2047	2047	2047	2047	0
1478	1537	-991	2047	2047	2047	2047	0
1487	1545	-983	2047	2047	2047	2047	0
1496	1552	-975	2047	2047	2047	2047	0
1504	1560	-967	2047	2047	2047	2047	0
1513	1567	-959	2047	2047	2047	2047	0
1521	1575	-951	2047	2047	2047	2047	0
1529	1582	-943	2047	2047	2047	2047	0
1538	1589	-935	2047	2047	2047	2047	0
1546	1597	-927	2047	2047	2047	2047	0
1554	1604	-919	2047	2047	2047	0	0
1562	1611	-911	2047	2047	2047	0	0
1570	1618	-903	2047	2047	2047	0	0
1578	1625	-895	2047	2047	2047	0	0
1586	1632	-887	2047	2047	2047	0	0
1594	1639	-879	2047	2047	2047	0	0
1602	1645	-871	2047	2047	2047	0	0
1610	1652	-863	2047	2047	2047	0	0
1618	1659	-855	2047	2047	2047	0	0
1625	1665	-847	2047	2047	2047	0	0
1633	1672	-839	2047	2047	2047	0	0
1641	1678	-831	2047	2047	2047	0	0
